School Short Name,School ID,Website URL
NORTHSIDE PREP HS,609749,http://www.northsideprep.org
NORTHWEST,610051,http://www.northwestmiddleschool.org
NORWOOD PARK,610099,http://npschicago.com/
OGDEN ES,610101,http://ogden.cps.edu
OGDEN HS,610529,http://ogden.cps.edu
OGLESBY,610102,https://oglesby.cps.edu
OKEEFFE,610103,http://okeeffe.auslchicago.org
OMBUDSMAN - NORTHWEST HS,610569,http://www.ombudsmancps.com
OMBUDSMAN - SOUTH HS,610570,http://www.ombudsmancps.com
OMBUDSMAN - WEST HS,610571,http://www.ombudsmancps.com
ONAHAN,610104,http://www.onahanschool.org
ORIOLE PARK,610105,http://www.orioleparkschool.com
OROZCO,610329,http://www.jcorozco.com
ORR HS,610389,http://www.orracademy.org
ORTIZ DE DOMINGUEZ,609950,http://ortizdedominguez.weebly.com/
OTIS,610107,
OTOOLE,610108,http://www.otoolelions.org
OWEN,610109,http://www.owen.cps.edu
OWENS,609943,http://www.gompersschool.org
PALMER,610111,http://www.palmerpride.org
PARK MANOR,610115,http://parkmanorelementary.org/
PARKER,610112,http://www.parker.cps.edu
PARKSIDE,610116,http://www.parksideacademy.org
PASTEUR,610117,http://www.pasteurschool.org
PATHWAYS - ASHBURN HS,610557,http://www.pathwaysedu.org
PATHWAYS - AVONDALE HS,610568,http://www.pathwaysedu.org
PATHWAYS - BRIGHTON PARK HS,400173,http://www.pathwaysedu.org
PAYTON HS,609680,http://www.wpcp.org
PEACE AND EDUCATION HS,610386,http://peaceandeducationschools.org
PECK,610120,http://www.peckelementary.org/
PEIRCE,610122,http://www.peirce.cps.k12.il.us
PENN,610123,http://www.penn.cps.edu
PEREZ,609872,http://www.perezelementaryschool.org
PERSHING,610126,http://www.pershingcps.org
PERSPECTIVES - JOSLIN HS,400064,http://www.pcsedu.org
PERSPECTIVES - LEADERSHIP HS,400061,http://www.pcsedu.org
PERSPECTIVES - MATH & SCI HS,400066,http://www.pcsedu.org
